"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
"impactstory","10.1371/journal.pone.0026245",NA,NA,2,1180,NA,NA,7,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028916",0,0,0,1452,237,1,3,0,2013-05-13
"altmetric","10.1371/journal.pone.0028916",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028916",NA,NA,NA,1371,NA,NA,3,NA,2013-05-13
"plosalm","10.1371/journal.pone.0026249",0,0,1,807,188,0,5,0,2013-05-13
"altmetric","10.1371/journal.pone.0026249",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0026249",NA,NA,1,705,NA,NA,5,NA,2013-05-13
"plosalm","10.1371/journal.pone.0052889",0,0,0,379,128,1,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0052889",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052889",NA,NA,NA,376,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0039558",0,0,1,1487,912,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0039558",0,0,NA,NA,NA,NA,0,1,2012-06-30
"impactstory","10.1371/journal.pone.0039558",NA,NA,1,1476,1,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0036890",0,0,1,966,609,0,9,0,2013-05-13
"altmetric","10.1371/journal.pone.0036890",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0036890",NA,NA,1,953,1,NA,9,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028913",0,0,5,1667,184,0,15,0,2013-05-13
"altmetric","10.1371/journal.pone.0028913",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028913",NA,NA,5,1567,1,NA,16,NA,2013-05-13
"plosalm","10.1371/journal.pone.0023570",0,0,15,1987,1336,0,5,0,2013-05-13
"altmetric","10.1371/journal.pone.0023570",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0023570",NA,NA,15,1970,2,NA,5,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028908",0,0,1,1008,526,0,12,0,2013-05-13
"altmetric","10.1371/journal.pone.0028908",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0028908",NA,NA,1,913,NA,NA,12,NA,2013-05-13
"plosalm","10.1371/journal.pone.0023574",0,0,6,1139,698,1,6,0,2013-05-13
